restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
Mcdonalds,Artisan Grilled Chicken Sandwich,0.149377593,0.047244094,0.04964539,0.042553191,0,0.118012422,0.180544106,0.282051282,0.176470588,0.126436782,0.194594595,0.022222222,0.05,0.068965517,Other
Mcdonalds,Single Bacon Smokehouse Burger,0.340248963,0.322834646,0.319148936,0.361702128,0.1875,0.161490683,0.258037923,0.397435897,0.117647059,0.206896552,0.243243243,0.033333333,0.05,0.068965517,Other
Mcdonalds,Double Bacon Smokehouse Burger,0.460580913,0.472440945,0.475177305,0.574468085,0.375,0.273291925,0.314097279,0.403846154,0.176470588,0.206896552,0.372972973,0.055555556,0.05,0.172413793,Other
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,0.302904564,0.220472441,0.219858156,0.212765957,0.0625,0.192546584,0.317394889,0.397435897,0.117647059,0.206896552,0.291891892,0.033333333,0.0625,0.068965517,Other
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,0.373443983,0.322834646,0.319148936,0.255319149,0.0625,0.149068323,0.323990107,0.519230769,0.235294118,0.206896552,0.243243243,0.033333333,0.05,0.068965517,Other
Mcdonalds,Big Mac,0.215767635,0.196850394,0.19858156,0.212765957,0.125,0.099378882,0.154163232,0.294871795,0.176470588,0.103448276,0.12972973,0.055555556,0.005,0.051724138,Other
Mcdonalds,Cheeseburger,0.116182573,0.078740157,0.085106383,0.106382979,0.0625,0.049689441,0.109645507,0.211538462,0.117647059,0.08045977,0.075675676,0.055555556,0.005,0.034482759,Other
Mcdonalds,Classic Chicken Sandwich,0.203319502,0.165354331,0.170212766,0.085106383,0,0.080745342,0.169002473,0.314102564,0.176470588,0.068965517,0.12972973,0,0.01,0.006896552,Other
Mcdonalds,Double Cheeseburger,0.170124481,0.149606299,0.14893617,0.234042553,0.125,0.105590062,0.169002473,0.224358974,0.117647059,0.08045977,0.12972973,0.111111111,0.01,0.051724138,Other
Mcdonalds,Double Quarter PounderÂ® with Cheese,0.31120332,0.31496063,0.319148936,0.446808511,0.3125,0.217391304,0.210222589,0.269230769,0.176470588,0.114942529,0.27027027,0.111111111,0.015,0.068965517,Other
Mcdonalds,Filet-O-FishÂ®,0.149377593,0.133858268,0.127659574,0.085106383,0,0.049689441,0.103050289,0.243589744,0.117647059,0.057471264,0.075675676,0.011111111,0,0.051724138,Other
Mcdonalds,Garlic White Cheddar Burger,0.248962656,0.236220472,0.241134752,0.276595745,0.1875,0.118012422,0.127782358,0.307692308,0.176470588,0.126436782,0.167567568,0.055555556,0.025,0.120689655,Other
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,0.211618257,0.141732283,0.141843972,0.14893617,0,0.155279503,0.187139324,0.307692308,0.176470588,0.126436782,0.221621622,0.055555556,0.05,0.120689655,Other
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,0.282157676,0.236220472,0.241134752,0.191489362,0,0.105590062,0.193734542,0.429487179,0.294117647,0.126436782,0.172972973,0.055555556,0.0375,0.120689655,Other
Mcdonalds,Hamburger,0.095435685,0.05511811,0.056737589,0.063829787,0,0.037267081,0.076669415,0.198717949,0.117647059,0.068965517,0.064864865,0.011111111,0.005,0.013793103,Other
Mcdonalds,Lobster Roll,0.112033195,0.039370079,0.035460993,0.031914894,0,0.080745342,0.101401484,0.224358974,0.117647059,0.034482759,0.124324324,0.022222222,0.015,0.051724138,Other
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,0.257261411,0.25984252,0.255319149,0.29787234,0.1875,0.136645963,0.205276175,0.256410256,0.176470588,0.114942529,0.194594595,0.033333333,0.0375,0.051724138,Other
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,0.232365145,0.149606299,0.14893617,0.170212766,0,0.167701863,0.309150866,0.320512821,0.176470588,0.16091954,0.254054054,0.022222222,0.075,0.103448276,Other
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,0.298755187,0.244094488,0.24822695,0.191489362,0.0625,0.118012422,0.291014015,0.442307692,0.294117647,0.16091954,0.205405405,0.022222222,0.05,1,Other
Mcdonalds,McChicken,0.136929461,0.102362205,0.106382979,0.074468085,0,0.049689441,0.09645507,0.256410256,0.117647059,0.057471264,0.075675676,0.011111111,0.005,0.013793103,Other
